oil block number,licensee,status,oil field name,developed/undeveloped,type,estimated Longitude,estimated Latitude
OML 74,Shell,Onshore licensed,,,,6.7,4.32
OML 72,Shell,Onshore licensed,,,,6.88,4.32
OML 86,Chevron,Offshore licensed,NORTH APOI,developed,Oil or Oil/Gas,6.08,4.42
OML 86,Chevron,Offshore licensed,FUNIWA,developed,Oil or Oil/Gas,6.05,4.38
OML 86,Chevron,Offshore licensed,SENGANA,developed,Oil or Oil/Gas,6.02,4.35
OML 79,Shell,Onshore licensed,Egbelike,undeveloped,Gas or Gas/Condensate,5.3,4.92
OPL 458,ConOil,Onshore licensed,Agge,undeveloped,Oil or Oil/Gas,4.82,5.0
OPL 458,ConOil,Onshore licensed,Erukuku,undeveloped,Gas or Gas/Condensate,4.85,4.98
OPL 79,Shell,Onshore licensed,EGBELIKE,developed,Gas or Gas/Condensate,5.28,4.92
OPL 79,Shell,Onshore licensed,Oma,undeveloped,Oil or Oil/Gas,5.32,4.88
OML 114,Moni Pulo,Offshore licensed,,,,8.32,5.18
OML 129,Shell,Offshore licensed,,,,6.42,4.12
OML 219,Shell,Onshore licensed,,,,6.5,4.18
OML 120,Allied,Offshore licensed,Ewo,undeveloped,Oil or Oil/Gas,4.78,4.82
OML 120,Allied,Offshore licensed,Dyo,undeveloped,Oil or Oil/Gas,4.75,4.78
OML 121,Allied,Offshore licensed,,,,4.68,4.52
OML 112,Arms,Offshore licensed,,,,7.32,4.68
OML 126,,Offshore licensed,Usan,undeveloped,Oil or Oil/Gas,7.52,3.55
OML 126,,Offshore licensed,Ukot,undeveloped,Oil or Oil/Gas,7.55,3.52
OPL 211,Eni,Offshore licensed,Engule,undeveloped,Oil or Oil/Gas,4.68,4.88
OPL 211,Eni,Offshore licensed,Enyife,undeveloped,Oil or Oil/Gas,4.72,4.85
OML 13,Shell,Onshore licensed,TAI,developed,Oil or Oil/Gas,7.18,4.72
OML 13,Shell,Onshore licensed,ONNE,developed,Oil or Oil/Gas,7.2,4.75
OML 13,Shell,Onshore licensed,AKUKU,developed,Oil or Oil/Gas,7.22,4.72
OML 13,Shell,Onshore licensed,BONNY,developed,Oil or Oil/Gas,7.18,4.45
OML 13,Shell,Onshore licensed,CAWTHORNE CHANNEL,developed,Oil or Oil/Gas,7.05,4.55
OML 18,Shell,Onshore licensed,EKULAMA,developed,Oil or Oil/Gas,6.6,4.82
OML 18,Shell,Onshore licensed,KRAKAMA,developed,Oil or Oil/Gas,6.62,4.78
OML 18,Shell,Onshore licensed,AWOBA,developed,Oil or Oil/Gas,6.58,4.82
OML 11,Shell,Onshore licensed,APARA,developed,Oil or Oil/Gas,7.0,5.02
OML 11,Shell,Onshore licensed,ALAKIRI,developed,Oil or Oil/Gas,7.02,4.98
OML 11,Shell,Onshore licensed,ASARITORU,developed,Oil or Oil/Gas,6.98,5.0
OML 23,Shell,Onshore licensed,RUMUEKPE,developed,Oil or Oil/Gas,6.97,4.88
OML 23,Shell,Onshore licensed,DIEBU CREEK,developed,Oil or Oil/Gas,6.9,4.85
OML 23,Shell,Onshore licensed,PIRIGBENE,developed,Oil or Oil/Gas,6.87,4.82
OML 23,Shell,Onshore licensed,TERIDABA,developed,Oil or Oil/Gas,6.82,4.78
OML 24,Chevron,Onshore licensed,INDA,developed,Oil or Oil/Gas,6.72,4.52
OML 24,Chevron,Onshore licensed,MAKARABA,developed,Oil or Oil/Gas,6.78,4.55
OML 24,Chevron,Onshore licensed,BATAN,developed,Oil or Oil/Gas,6.05,5.1
OML 24,Chevron,Onshore licensed,WARRI RIVER,developed,Oil or Oil/Gas,5.97,5.15
OML 24,Chevron,Onshore licensed,UGHELLI WEST,developed,Oil or Oil/Gas,5.9,5.32
OML 24,Chevron,Onshore licensed,UGHELLI EAST,developed,Oil or Oil/Gas,5.93,5.32
OPL 200,,Onshore licensed,ANEIZE,developed,Oil or Oil/Gas,5.92,5.25
OPL 200,,Onshore licensed,OKPAI,developed,Oil or Oil/Gas,5.9,5.2
OPL 200,,Onshore licensed,ASHAKA,developed,Oil or Oil/Gas,5.88,5.18
OML 86,Chevron,Offshore licensed,IKUBULO,undeveloped,Oil or Oil/Gas,6.12,4.35
OML 86,Chevron,Offshore licensed,Ma,undeveloped,Oil or Oil/Gas,6.15,4.38
OML 77,Emerald,Offshore licensed,Hobobo,undeveloped,Oil or Oil/Gas,6.4,4.4
OPL 456,ConOil,Onshore licensed,,,,5.22,4.8
OML 66,NPDC,Onshore licensed,ODEAMA CREEK,developed,Oil or Oil/Gas,6.55,4.72
OPL 240,Nexen,Onshore licensed,,,,5.15,4.98
OML 108,SEPCOL,Onshore licensed,OKPAI,developed,Oil or Oil/Gas,5.25,4.95
OML 87,Oando,Onshore licensed,,,,5.12,5.02
OPL 229,Emerald,Onshore licensed,,,,6.35,4.52
OML 73,Shell,Onshore licensed,,,,5.8,4.75
